,status_id,user_id,created_at,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favourites_count,retweet_count,country_code,place_full_name,place_type,followers_count,friends_count,account_lang,account_created_at,verified,lang
25144150,1254349029644754945,1153522447729037312,2020-04-26T09:58:08Z,bohemianglytz,"US States: Highest % positive tests today.
#Maine #Louisiana #NewJersey #Delaware #Iowa #Maryland #Virginia #Massachusetts #NewYork #Colorado 
4/25/20
#coronavirus #Coronavirustruth #CoronaUpdate #COVIDー19 #COVID19 #COVID #CoronaHoax #CoronavirusPandemic #CoronaVirusHOAX https://t.co/KWx6UScFSS",Twitter Web App,,,,False,False,559,0,,,,29,551,,2019-07-23T04:29:17Z,False,en
25159640,1254365653399736322,392864139,2020-04-26T11:04:11Z,Ahighervision,2 million chickens will be killed in Delaware and Maryland because of lack of employees at processing plants #coronavirus  https://t.co/hWzz98zxN2,Twitter for iPhone,,,,False,False,13436,2,,,,1543,963,,2011-10-17T17:42:48Z,False,en
25174927,1254381685480861697,1239460958138822656,2020-04-26T12:07:53Z,19CovAid,"2 million chickens at farms in delaware , MD to be destroyed because of lack of workers at processing plants.  And people are tapping food banks and standing in line for food. Is there no way to get this to them? #COVID19 #foodwaste #SupplyChainIssues  https://t.co/pEsSQb4w81",Twitter for iPhone,,,,False,False,15,1,,,,5,32,,2020-03-16T07:58:34Z,False,en
25194810,1254400348632080385,171926859,2020-04-26T13:22:03Z,PAMEDSociety,"👏👏👏 to the 40 workers in Delaware County, Pennsylvania, who lived at work for a month to make coronavirus #PPEs for physicians and other #healthcare professionals: https://t.co/f33ArgwJdx
#COVID19 @Newsweek https://t.co/ZL1dnazGhC",Buffer,,,,False,False,2106,0,,,,3033,882,,2010-07-28T14:17:36Z,False,en
25224940,1254426655361302528,388432699,2020-04-26T15:06:35Z,WhirlwindWisdom,"How the #Biden &amp; his ilk Paved the Way for #Coronavirus Profiteering

Sen. Joe Biden of Delaware voted to table Wellstone’s amendment, and it was defeated 56-39
#BidenDropOut #Covid_19  https://t.co/XHoGWYaYah",Twitter for iPhone,,,,False,False,4712,1,,,,5689,5277,,2011-10-10T18:50:08Z,False,en
25229327,1254430235925401601,1243962283937673221,2020-04-26T15:20:49Z,MaggieJonesDE,"Effective Tuesday, April 28th

Governor Carney Requires Delawareans to Wear Face Coverings in Public Settings
#covidsafe #Covid_19 #netde #jones4ncc https://t.co/P1Xqd1DWeL",Twitter for iPhone,,,,False,False,0,0,,,,28,120,,2020-03-28T18:05:37Z,False,en
25239180,1254438420375576581,1089478436970811392,2020-04-26T15:53:20Z,Clumps11,"Some people say it's bad too cry, and so do I. #inspirational #inspiringquotes #COVID19 #Covid_19 #KimJungUn #MeTooUnlessItsBiden #Delaware #GameofThrones",Twitter for Android,,,,False,False,232,0,,,,2,14,,2019-01-27T11:01:15Z,False,en
25243477,1254441700900167680,14027452,2020-04-26T16:06:22Z,hardknoxfirst,2 million chickens will be killed in Delaware and Maryland because of lack of employees at processing plants #SmartNews #coronavirus #COVID19  https://t.co/ueOJJhaOvG,Twitter for iPhone,,,,False,False,128994,1,,,,6632,4741,,2008-02-26T21:00:11Z,False,en
25248060,1254445398967672838,1188517786169032704,2020-04-26T16:21:04Z,Power2Control,"Supply chains are going to collapse. #coronavirus is spinning out of control, and no one is at the wheel.

2 million chickens will be killed in Delaware and Maryland because of lack of employees at processing plants.
https://t.co/e9qkMuZ8B2

via @GoogleNews",Twitter for Android,,,,False,False,7374,0,,,,1606,3010,,2019-10-27T18:08:21Z,False,en
25250646,1254447600574529536,139283160,2020-04-26T16:29:49Z,kr3at,"Delaware reports 458 new cases and 8 new deaths bringing total confirmed cases there to 4,034 and 120 total deaths.

#CoronaVirus #Covid19 #CoronaVirusOutbreak",Alexander Higgins,,,,False,False,9882,1,,,,18417,7057,,2010-05-02T03:52:20Z,False,en
25253860,1254450189391351808,188885888,2020-04-26T16:40:06Z,IQLatino,"53 Latino restaurants in Philadelphia and the south and center of Pennsylvania, New Jersey and Delaware boost their home deliveries during the weekends to keep their businesses afloat and healthy with the Dine Latino Take-Out Weekend campaign https://t.co/zviltVJoYU #COVID19 https://t.co/9Hgt31qodE",Hootsuite Inc.,,,,False,False,1580,0,,,,5293,2151,,2010-09-09T20:46:50Z,False,en
25254445,1254450713696010241,552066959,2020-04-26T16:42:11Z,DelawarePublic,"Delaware reports 8 new #COVID19 deaths Sunday.  That brings the death toll in the state to 120.  458 new cases added, bringing total to date over 4,000 - now 4,034.  #NetDE",Twitter Web App,,,,False,False,342,0,,,,7262,663,,2012-04-12T18:28:59Z,False,en
25254997,1254451231948517377,2432970960,2020-04-26T16:44:14Z,CamilaFNews,#COVID19: Local organizations in Delaware are urging Governor John Carney to provide things like more information in Spanish and financial support for immigrant workers affected by COVID-19. We’ll have more details tonight at 6 on @47abc. #BecauseLocalMatters https://t.co/mZZOnL7iDo,Twitter for iPhone,,,,False,False,5152,1,US,"Salisbury, MD",city,810,1076,,2014-04-08T03:30:52Z,False,en
25260119,1254455465582497792,53130312,2020-04-26T17:01:04Z,UnitedWayDE,"The Delaware Neighbors Network is looking for people who can help keep the elderly connected to the services they need, w/ the technology they have available. It's a safe way to give back during these difficult times. Sign up today at https://t.co/vp7aWsnTkG  #covid19 #netde https://t.co/sYYhoX8xU9",Buffer,,,,False,False,746,0,,,,4211,1327,,2009-07-02T17:37:19Z,False,en
